Date,Count,Top,BufferRule,Type,Tickers,Weights,PriceTickers
2015-06-22,10,AAPL,False,Rebal,AAPL|MSFT|AMZN|FB|GOOG|GILD|GOOGL|INTC|CSCO|AMGN,0.297976|0.151397|0.083554|0.078408|0.075794|0.073007|0.066433|0.062797|0.060267|0.050366,AAPL|AMGN|AMZN|CSCO|GILD|GOOG|GOOGL|INTC|META|MSFT
2015-09-21,10,AAPL,False,Rebal,AAPL|MSFT|AMZN|GOOG|FB|GOOGL|GILD|INTC|CSCO|CMCSA,0.269239|0.144572|0.105108|0.089563|0.088483|0.079233|0.063594|0.056809|0.053230|0.050169,AAPL|AMZN|CMCSA|CSCO|GILD|GOOG|GOOGL|INTC|META|MSFT
2015-12-21,9,AAPL,True,Recon,AAPL|MSFT|AMZN|GOOG|FB|GOOGL|INTC|GILD|CSCO,0.253612|0.181704|0.128780|0.106566|0.098099|0.091383|0.067447|0.062410|0.010000,AAPL|AMZN|CSCO|GILD|GOOG|GOOGL|INTC|META|MSFT
2016-03-21,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|FB|GOOG|GOOGL|INTC|GILD|CMCSA,0.249130|0.183219|0.114646|0.113423|0.111307|0.098099|0.066791|0.053385|0.010000,AAPL|AMZN|CMCSA|GILD|GOOG|GOOGL|INTC|META|MSFT
2016-06-20,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|FB|GOOG|GOOGL|INTC|CMCSA|CSCO,0.225149|0.171427|0.148720|0.115708|0.104723|0.091475|0.066870|0.065928|0.010000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2016-09-19,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|FB|GOOG|GOOGL|INTC|CMCSA|CSCO,0.237278|0.171993|0.142459|0.115862|0.101998|0.090921|0.068159|0.061332|0.010000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2016-12-19,9,AAPL,True,Recon,AAPL|MSFT|AMZN|FB|GOOG|GOOGL|INTC|CMCSA|CSCO,0.237500|0.187337|0.137221|0.104668|0.103115|0.090525|0.065950|0.063683|0.010000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2017-03-20,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|FB|GOOG|GOOGL|CMCSA|INTC|CSCO,0.251987|0.172472|0.141973|0.114395|0.101745|0.089212|0.060802|0.057416|0.010000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2017-06-19,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|FB|GOOG|GOOGL|CMCSA|INTC|CSCO,0.239139|0.172695|0.151246|0.114638|0.105326|0.091959|0.062206|0.052790|0.010000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2017-09-18,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|FB|GOOG|GOOGL|CMCSA|INTC|CSCO,0.252515|0.178364|0.144190|0.124162|0.098035|0.085381|0.053784|0.053569|0.010000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
