Date,Count,Top,Type,Tickers,Weights,PriceTickers
2005-06-20,12,MSFT,Rebal,MSFT|QCOM|INTC|AMGN|CSCO|AAPL|NXTL|EBAY|DELL|CMCSA|SBUX|ORCL,0.146784|0.120661|0.106422|0.091100|0.083017|0.076949|0.076240|0.068334|0.068303|0.059505|0.056232|0.046453,AAPL|AMGN|CMCSA|CSCO|DELL|EBAY|INTC|MSFT|NXTL|ORCL|QCOM|SBUX
2005-09-19,11,MSFT,Rebal,MSFT|QCOM|AAPL|INTC|AMGN|CSCO|EBAY|DELL|ORCL|CMCSA|SBUX,0.181113|0.157389|0.113829|0.098379|0.092580|0.077550|0.069688|0.056536|0.053443|0.053062|0.046432,AAPL|AMGN|CMCSA|CSCO|DELL|EBAY|INTC|MSFT|ORCL|QCOM|SBUX
2005-12-19,14,MSFT,Recon,MSFT|QCOM|AAPL|INTC|GOOG|EBAY|AMGN|CSCO|SBUX|DELL|YHOO|ORCL|CMCSA|GILD,0.148421|0.129158|0.123826|0.082440|0.077211|0.067529|0.066909|0.059782|0.049085|0.042183|0.041671|0.039681|0.038066|0.034038,AAPL|AMGN|CMCSA|CSCO|DELL|EBAY|GILD|GOOG|INTC|MSFT|ORCL|QCOM|SBUX|YHOO
2006-03-20,14,MSFT,Rebal,MSFT|QCOM|AAPL|CSCO|GOOG|AMGN|INTC|EBAY|SBUX|ORCL|GILD|DELL|CMCSA|YHOO,0.154940|0.151279|0.114020|0.072067|0.064012|0.063493|0.062742|0.060663|0.059734|0.044642|0.043049|0.039031|0.038880|0.031447,AAPL|AMGN|CMCSA|CSCO|DELL|EBAY|GILD|GOOG|INTC|MSFT|ORCL|QCOM|SBUX|YHOO
2006-06-19,14,QCOM,Rebal,QCOM|MSFT|AAPL|GOOG|CSCO|SBUX|INTC|AMGN|EBAY|CMCSA|ORCL|GILD|DELL|YHOO,0.144764|0.133942|0.113076|0.078662|0.072741|0.063744|0.062757|0.062646|0.052760|0.051534|0.051370|0.042664|0.034793|0.034548,AAPL|AMGN|CMCSA|CSCO|DELL|EBAY|GILD|GOOG|INTC|MSFT|ORCL|QCOM|SBUX|YHOO
2006-09-18,14,MSFT,Rebal,MSFT|AAPL|QCOM|GOOG|CSCO|INTC|AMGN|ORCL|SBUX|CMCSA|GILD|EBAY|SHLD|GENZ,0.142527|0.136491|0.113141|0.085807|0.077358|0.061582|0.059056|0.055130|0.054871|0.050661|0.045203|0.043962|0.039990|0.034222,AAPL|AMGN|CMCSA|CSCO|EBAY|GENZ|GILD|GOOG|INTC|MSFT|ORCL|QCOM|SBUX|SHLD
2006-12-18,14,AAPL,Recon,AAPL|MSFT|QCOM|CSCO|GOOG|AMGN|CMCSA|ORCL|INTC|GILD|SBUX|EBAY|FISV|SHLD,0.135003|0.131604|0.104937|0.089511|0.079767|0.068479|0.059589|0.054977|0.053141|0.051368|0.049036|0.043799|0.040268|0.038521,AAPL|AMGN|CMCSA|CSCO|EBAY|FISV|GILD|GOOG|INTC|MSFT|ORCL|QCOM|SBUX|SHLD
2007-03-19,14,AAPL,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|INTC|CMCSA|ORCL|SBUX|EBAY|GILD|AMGN|SHLD|RIMM,0.154990|0.134859|0.123339|0.085705|0.080495|0.054995|0.053129|0.053091|0.046964|0.045998|0.045639|0.045520|0.040138|0.035139,AAPL|AMGN|BB|CMCSA|CSCO|EBAY|GILD|GOOG|INTC|MSFT|ORCL|QCOM|SBUX|SHLD
2007-06-18,14,AAPL,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|INTC|ORCL|CMCSA|GILD|RIMM|EBAY|AMGN|SBUX|SHLD,0.190490|0.129776|0.106807|0.091083|0.074156|0.061615|0.054006|0.051139|0.046528|0.041307|0.040798|0.040176|0.036474|0.035644,AAPL|AMGN|BB|CMCSA|CSCO|EBAY|GILD|GOOG|INTC|MSFT|ORCL|QCOM|SBUX|SHLD
2007-09-24,14,AAPL,Rebal,AAPL|MSFT|QCOM|GOOG|CSCO|INTC|RIMM|ORCL|EBAY|GILD|CMCSA|SBUX|AMGN|CELG,0.210905|0.109924|0.098549|0.094331|0.080992|0.062272|0.062032|0.054438|0.045805|0.042514|0.040282|0.033021|0.032820|0.032116,AAPL|AMGN|BB|CELG|CMCSA|CSCO|EBAY|GILD|GOOG|INTC|MSFT|ORCL|QCOM|SBUX
