rank,allocation_id,method,trigger,ema_span,review,crash_threshold,trailing_stop,derisk,cooldown,test_cagr,test_max_drawdown,test_cagr_delta,test_dd_delta,selection_score
38,2,AbsoluteBand:Yearly:0.2,combined,200,Daily,0.1,0.0,1.0,0,0.2024921879111634,-0.13580013240816557,-0.00477328154410861,0.05984739261297278,0.01791581111361847
39,2,Calendar:Yearly,combined,150,Daily,0.075,0.0,1.0,0,0.2021536342276502,-0.13982542111331275,-0.003862454294899731,0.05616275466526288,0.018613995499851363
40,1,Calendar:Yearly,combined,200,Monthly,0.125,0.15,0.5,20,0.19128352922810854,-0.14165612424159835,-0.003542973000745908,0.05430290011635819,0.0065723986909830175
41,2,Calendar:Yearly,combined,150,Daily,0.15,0.0,0.5,0,0.20332014546673682,-0.14427940532685046,-0.0026959430558131103,0.05170877045172517,0.00704880594543862
42,5,Calendar:Yearly,combined,75,Monthly,0.125,0.1,0.5,20,0.17858896420342663,-0.10392286555692964,-0.0039985298423173,0.05476747517075431,-0.02732767520057682
43,8,AbsoluteBand:Yearly:0.05,combined,150,Monthly,0.1,0.0,0.5,20,0.1724807099734229,-0.09754711693701112,-0.004551667951711691,0.056303332045892995,0.005752092785826086
44,5,Calendar:Yearly,combined,100,Monthly,0.125,0.15,0.5,0,0.1842073248006968,-0.12069445322982963,0.0016198307549528668,0.03799588749785432,0.01295324959175734
45,5,Calendar:Yearly,combined,75,Monthly,0.125,0.0,1.0,20,0.17354242333350856,-0.09148386938083564,-0.00904507071223537,0.06720647134684832,0.006066796842473805
46,2,Calendar:Yearly,combined,150,Daily,0.125,0.15,0.5,0,0.20236832161145624,-0.14423726678542959,-0.0036477669110936972,0.05175090899314605,0.00879915375535371
47,8,AbsoluteBand:Yearly:0.05,combined,200,Monthly,0.1,0.0,0.5,20,0.17209289579009623,-0.09921956002583865,-0.004939482135038364,0.05463088895706547,0.006712955599497556
48,8,AbsoluteBand:Yearly:0.05,crash,100,Weekly,0.1,0.15,0.5,60,0.17131220537485037,-0.09754711693700968,-0.0057201725502842304,0.05630333204589444,0.00560590842152093
49,5,Calendar:Yearly,combined,75,Monthly,0.125,0.0,0.5,20,0.17913453422754477,-0.10897235495371449,-0.0034529598181991528,0.049717985773969464,0.009310738500304413
